type,ddex_key,name
NewStudioRole,AdditionalEngineer,Additional Engineer
NewStudioRole,AnimalTrainer,Animal Trainer
NewStudioRole,Animator,Animator
NewStudioRole,Annotator,Annotator
NewStudioRole,Armourer,Armourer
NewStudioRole,ArtCopyist,Art Copyist
NewStudioRole,ArtDirector,Art Director
NewStudioRole,ArtistBackgroundVocalEngineer,Artist Background Vocal Engineer
NewStudioRole,ArtistVocalEngineer,Artist Vocal Engineer
NewStudioRole,ArtistVocalSecondEngineer,Artist Vocal Second Engineer
NewStudioRole,AssistantCameraOperator,Assistant Camera Operator
NewStudioRole,AssistantChiefLightingTechnician,Assistant Chief Lighting Technician
NewStudioRole,AssistantDirector,Assistant Director
NewStudioRole,AssistantEditor,Assistant Editor
NewStudioRole,AssistantProducer,Assistant Producer
NewStudioRole,AssistantVisualEditor,Assistant Visual Editor
NewStudioRole,AuralTrainer,Aural Trainer
NewStudioRole,BalanceEngineerArtist,Balance Engineer Artist
NewStudioRole,Binder,Binder
NewStudioRole,BindingDesigner,Binding Designer
NewStudioRole,BookDesigner,Book Designer
NewStudioRole,BookjackDesigner,Bookjack Designer
NewStudioRole,BookplateDesigner,Bookplate Designer
NewStudioRole,BookProducer,Book Producer
NewStudioRole,BroadcastAssistant,Broadcast Assistant
NewStudioRole,BroadcastJournalist,Broadcast Journalist
NewStudioRole,Calligrapher,Calligrapher
NewStudioRole,CameraOperator,Camera Operator
NewStudioRole,Carpenter,Carpenter
NewStudioRole,Cartographer,Cartographer
NewStudioRole,Cartoonist,Cartoonist
NewStudioRole,CastingDirector,Casting Director
NewStudioRole,Censor,Censor
NewStudioRole,ChiefLightingTechnician,Chief Lighting Technician
NewStudioRole,Choreographer,Choreographer
NewStudioRole,CircusArtist,Circus Artist
NewStudioRole,ClapperLoader,Clapper Loader
NewStudioRole,CoDirector,Co Director
NewStudioRole,CoExecutiveProducer,Co Executive Producer
NewStudioRole,ColorSeparator,Color Separator
NewStudioRole,CommissioningBroadcaster,Commissioning Broadcaster
NewStudioRole,CompilationProducer,Compilation Producer
NewStudioRole,ComputerGraphicCreator,Computer Graphic Creator
NewStudioRole,ComputerProgrammer,Computer Programmer
NewStudioRole,Consultant,Consultant
NewStudioRole,ContinuityChecker,Continuity Checker
NewStudioRole,Contractor,Contractor
NewStudioRole,CoProducer,Co Producer
NewStudioRole,Correspondent,Correspondent
NewStudioRole,CostumeDesigner,Costume Designer
NewStudioRole,CoverDesigner,Cover Designer
NewStudioRole,Dancer,Dancer
NewStudioRole,Delineator,Delineator
NewStudioRole,Designer,Designer
NewStudioRole,DialogueCoach,Dialogue Coach
NewStudioRole,DialogueDirector,Dialogue Director
NewStudioRole,DigitalAudioWorkstationEngineer,Digital Audio Workstation Engineer
NewStudioRole,DigitalEditingEngineer,Digital Editing Engineer
NewStudioRole,DigitalEditingSecondEngineer,Digital Editing Second Engineer
NewStudioRole,Director,Director
NewStudioRole,DirectStreamDigitalEngineer,Direct Stream Digital Engineer
NewStudioRole,DistributionCompany,Distribution Company
NewStudioRole,Draughtsman,Draughtsman
NewStudioRole,Dresser,Dresser
NewStudioRole,Dubber,Dubber
NewStudioRole,Editor,Editor
NewStudioRole,EditorInChief,Editor In Chief
NewStudioRole,EditorOfTheDay,Editor Of The Day
NewStudioRole,Encoder,Encoder
NewStudioRole,Engineer,Engineer
NewStudioRole,ExecutiveProducer,Executive Producer
NewStudioRole,Expert,Expert
NewStudioRole,Facsimilist,Facsimilist
NewStudioRole,FightDirector,Fight Director
NewStudioRole,FilmDirector,Film Director
NewStudioRole,FilmDistributor,Film Distributor
NewStudioRole,FilmEditor,Film Editor
NewStudioRole,FilmProducer,Film Producer
NewStudioRole,FilmSoundEngineer,Film Sound Engineer
NewStudioRole,FloorManager,Floor Manager
NewStudioRole,FocusPuller,Focus Puller
NewStudioRole,FoleyArtist,Foley Artist
NewStudioRole,FoleyEditor,Foley Editor
NewStudioRole,FoleyMixer,Foley Mixer
NewStudioRole,GraphicArtist,Graphic Artist
NewStudioRole,GraphicAssistant,Graphic Assistant
NewStudioRole,GraphicDesigner,Graphic Designer
NewStudioRole,Greensman,Greensman
NewStudioRole,Grip,Grip
NewStudioRole,Hairdresser,Hairdresser
NewStudioRole,Illustrator,Illustrator
NewStudioRole,InitialProducer,Initial Producer
NewStudioRole,KeyCharacter,Key Character
NewStudioRole,KeyGrip,Key Grip
NewStudioRole,KeyTalent,Key Talent
NewStudioRole,Leadman,Leadman
NewStudioRole,LeadPerformer,Lead Performer
NewStudioRole,LightingDirector,Lighting Director
NewStudioRole,LightingTechnician,Lighting Technician
NewStudioRole,LocationManager,Location Manager
NewStudioRole,MakeUpArtist,Make Up Artist
NewStudioRole,Manufacturer,Manufacturer
NewStudioRole,MasteringEngineer,Mastering Engineer
NewStudioRole,MasteringSecondEngineer,Mastering Second Engineer
NewStudioRole,MatteArtist,Matte Artist
NewStudioRole,MixingEngineer,Mixing Engineer
NewStudioRole,MixingSecondEngineer,Mixing Second Engineer
NewStudioRole,MusicDirector,Music Director
NewStudioRole,Musician,Musician
NewStudioRole,NewsProducer,News Producer
NewStudioRole,NewsReader,News Reader
NewStudioRole,NotSpecified,Not Specified
NewStudioRole,OrchestraMember,Orchestra Member
NewStudioRole,OriginalArtist,Original Artist
NewStudioRole,OverdubEngineer,Overdub Engineer
NewStudioRole,OverdubSecondEngineer,Overdub Second Engineer
NewStudioRole,Painter,Painter
NewStudioRole,Photographer,Photographer
NewStudioRole,PhotographyDirector,Photography Director
NewStudioRole,PlaybackSinger,Playback Singer
NewStudioRole,PostProducer,Post Producer
NewStudioRole,PreProduction,Pre Production
NewStudioRole,PreProductionEngineer,Pre Production Engineer
NewStudioRole,PreProductionSecondEngineer,Pre Production Second Engineer
NewStudioRole,ProductionAssistant,Production Assistant
NewStudioRole,ProductionCompany,Production Company
NewStudioRole,ProductionCoordinator,Production Coordinator
NewStudioRole,ProductionDepartment,Production Department
NewStudioRole,ProductionManager,Production Manager
NewStudioRole,ProductionSecretary,Production Secretary
NewStudioRole,Programmer,Programmer
NewStudioRole,ProgrammingEngineer,Programming Engineer
NewStudioRole,ProgramProducer,Program Producer
NewStudioRole,ProjectEngineer,Project Engineer
NewStudioRole,PropertyManager,Property Manager
NewStudioRole,PublishingDirector,Publishing Director
NewStudioRole,Puppeteer,Puppeteer
NewStudioRole,Pyrotechnician,Pyrotechnician
NewStudioRole,RecordingEngineer,Recording Engineer
NewStudioRole,RecordingSecondEngineer,Recording Second Engineer
NewStudioRole,Redactor,Redactor
NewStudioRole,ReissueProducer,Reissue Producer
NewStudioRole,RemixedArtist,Remixed Artist
NewStudioRole,RemixingEngineer,Remixing Engineer
NewStudioRole,RemixingSecondEngineer,Remixing Second Engineer
NewStudioRole,Repetiteur,Repetiteur
NewStudioRole,Researcher,Researcher
NewStudioRole,ResearchTeamHead,Research Team Head
NewStudioRole,ResearchTeamMember,Research Team Member
NewStudioRole,Restager,Restager
NewStudioRole,Rigger,Rigger
NewStudioRole,RightsControllerOnProduct,Rights Controller On Product
NewStudioRole,Runner,Runner
NewStudioRole,ScenicOperative,Scenic Operative
NewStudioRole,ScientificAdvisor,Scientific Advisor
NewStudioRole,ScriptSupervisor,Script Supervisor
NewStudioRole,SecondAssistantCameraOperator,Second Assistant Camera Operator
NewStudioRole,SecondAssistantDirector,Second Assistant Director
NewStudioRole,SecondConductor,Second Conductor
NewStudioRole,SecondEngineer,Second Engineer
NewStudioRole,SecondUnitDirector,Second Unit Director
NewStudioRole,SeriesProducer,Series Producer
NewStudioRole,SetDesigner,Set Designer
NewStudioRole,SetDresser,Set Dresser
NewStudioRole,SignLanguageInterpreter,Sign Language Interpreter
NewStudioRole,SoundDesigner,Sound Designer
NewStudioRole,SoundMixer,Sound Mixer
NewStudioRole,SoundRecordist,Sound Recordist
NewStudioRole,SoundSupervisor,Sound Supervisor
NewStudioRole,Speaker,Speaker
NewStudioRole,SpecialEffectsTechnician,Special Effects Technician
NewStudioRole,Sponsor,Sponsor
NewStudioRole,StageAssistantEngineer,Stage Assistant Engineer
NewStudioRole,StageDirector,Stage Director
NewStudioRole,StageEngineer,Stage Engineer
NewStudioRole,StoryTeller,Story Teller
NewStudioRole,StringEngineer,String Engineer
NewStudioRole,StringProducer,String Producer
NewStudioRole,StringsDirector,Strings Director
NewStudioRole,StudioConductor,Studio Conductor
NewStudioRole,StudioPersonnel,Studio Personnel
NewStudioRole,StudioProducer,Studio Producer
NewStudioRole,Stunts,Stunts
NewStudioRole,SubtitlesEditor,Subtitles Editor
NewStudioRole,SubtitlesTranslator,Subtitles Translator
NewStudioRole,SupportingActor,Supporting Actor
NewStudioRole,SurroundMixingEngineer,Surround Mixing Engineer
NewStudioRole,SurroundMixingSecondEngineer,Surround Mixing Second Engineer
NewStudioRole,TapeOperator,Tape Operator
NewStudioRole,TechnicalDirector, TechnicalDirector
NewStudioRole,Tonmeister,Tonmeister
NewStudioRole,TrackingEngineer,Tracking Engineer
NewStudioRole,TrackingSecondEngineer,Tracking Second Engineer
NewStudioRole,TransfersAndSafetiesEngineer,Transfers And Safeties Engineer
NewStudioRole,TransfersAndSafetiesSecondEngineer,Transfers And Safeties Second Engineer
NewStudioRole,TransportationManager,Transportation Manager
NewStudioRole,Treatment,Treatment
NewStudioRole,Treatment/ProgramProposal,Treatment / Program Proposal
NewStudioRole,TypeDesigner,Type Designer
NewStudioRole,Unknown,Unknown
NewStudioRole,UserDefined,User Defined
NewStudioRole,VideoDirector,Video Director
NewStudioRole,Videographer,Videographer
NewStudioRole,VideoMusicalDirector,Video Musical Director
NewStudioRole,VideoProducer,Video Producer
NewStudioRole,VisionMixer,Vision Mixer
NewStudioRole,VisualEditor,Visual Editor
NewStudioRole,VisualEffectsTechnician,Visual Effects Technician
NewStudioRole,VocalArranger,Vocal Arranger
NewStudioRole,VocalEditingEngineer,Vocal Editing Engineer
NewStudioRole,VocalEditingSecondEngineer,Vocal Editing Second Engineer
NewStudioRole,VocalEngineer,Vocal Engineer
NewStudioRole,VocalProducer,Vocal Producer
NewStudioRole,VocalSecondEngineer,Vocal Second Engineer
NewStudioRole,Wardrobe,Wardrobe
ResourceContributorRole,AAndRAdministrator,A And R Administrator
ResourceContributorRole,AAndRCoordinator,A And R Coordinator
ResourceContributorRole,Accompanyist,Accompanyist
ResourceContributorRole,Actor,Actor
ResourceContributorRole,AdditionalEngineer,Additional Engineer
ResourceContributorRole,AdditionalMixingEngineer,Additional Mixing Engineer
ResourceContributorRole,AdditionalPerformer,Additional Performer
ResourceContributorRole,AdditionalProgrammingEngineer,Additional Programming Engineer
ResourceContributorRole,AdditionalStudioProducer,Additional Studio Producer
ResourceContributorRole,AnchorPerson,Anchor Person
ResourceContributorRole,AnimalTrainer,Animal Trainer
ResourceContributorRole,Animator,Animator
ResourceContributorRole,Annotator,Annotator
ResourceContributorRole,Announcer,Announcer
ResourceContributorRole,Architect,Architect
ResourceContributorRole,Armourer,Armourer
ResourceContributorRole,ArtCopyist,Art Copyist
ResourceContributorRole,ArtDirector,Art Director
ResourceContributorRole,Artist,Artist
ResourceContributorRole,ArtistBackgroundVocalEngineer,Artist Background Vocal Engineer
ResourceContributorRole,ArtistVocalEngineer,Artist Vocal Engineer
ResourceContributorRole,ArtistVocalSecondEngineer,Artist Vocal Second Engineer
ResourceContributorRole,AssistantCameraOperator,Assistant Camera Operator
ResourceContributorRole,AssistantChiefLightingTechnician,Assistant Chief Lighting Technician
ResourceContributorRole,AssistantConductor,Assistant Conductor
ResourceContributorRole,AssistantDirector,Assistant Director
ResourceContributorRole,AssistantEditor,Assistant Editor
ResourceContributorRole,AssistantEngineer,Assistant Engineer
ResourceContributorRole,AssistantProducer,Assistant Producer
ResourceContributorRole,AssistantVisualEditor,Assistant Visual Editor
ResourceContributorRole,AssociatedPerformer,Associated Performer
ResourceContributorRole,AssociateProducer,Associate Producer
ResourceContributorRole,AuralTrainer,Aural Trainer
ResourceContributorRole,BackgroundVocalist,Background Vocalist
ResourceContributorRole,BalanceEngineer,Balance Engineer
ResourceContributorRole,Band,Band
ResourceContributorRole,BandLeader,Band Leader
ResourceContributorRole,Binder,Binder
ResourceContributorRole,BindingDesigner,Binding Designer
ResourceContributorRole,BookDesigner,Book Designer
ResourceContributorRole,BookjackDesigner,Bookjack Designer
ResourceContributorRole,BookplateDesigner,Bookplate Designer
ResourceContributorRole,BookProducer,Book Producer
ResourceContributorRole,BookPublisher,Book Publisher
ResourceContributorRole,BroadcastAssistant,Broadcast Assistant
ResourceContributorRole,BroadcastJournalist,Broadcast Journalist
ResourceContributorRole,Calligrapher,Calligrapher
ResourceContributorRole,CameraOperator,Camera Operator
ResourceContributorRole,Carpenter,Carpenter
ResourceContributorRole,Cartographer,Cartographer
ResourceContributorRole,Cartoonist,Cartoonist
ResourceContributorRole,CastingDirector,Casting Director
ResourceContributorRole,Causeur,Causeur
ResourceContributorRole,Censor,Censor
ResourceContributorRole,ChiefLightingTechnician,Chief Lighting Technician
ResourceContributorRole,Choir,Choir
ResourceContributorRole,ChoirMember,Choir Member
ResourceContributorRole,Choreographer,Choreographer
ResourceContributorRole,ChorusMaster,Chorus Master
ResourceContributorRole,CircusArtist,Circus Artist
ResourceContributorRole,ClapperLoader,Clapper Loader
ResourceContributorRole,ClubDJ,Club DJ
ResourceContributorRole,CoDirector,Co Director
ResourceContributorRole,CoExecutiveProducer,Co Executive Producer
ResourceContributorRole,ColorSeparator,Color Separator
ResourceContributorRole,Comedian,Comedian
ResourceContributorRole,CoMixer,Co Mixer
ResourceContributorRole,CoMixingEngineer,Co Mixing Engineer
ResourceContributorRole,Commentator,Commentator
ResourceContributorRole,CommissioningBroadcaster,Commissioning Broadcaster
ResourceContributorRole,CompilationProducer,Compilation Producer
ResourceContributorRole,ComputerGraphicCreator,Computer Graphic Creator
ResourceContributorRole,ComputerProgrammer,Computer Programmer
ResourceContributorRole,ConcertMaster,Concert Master
ResourceContributorRole,Conductor,Conductor
ResourceContributorRole,Consultant,Consultant
ResourceContributorRole,ContinuityChecker,Continuity Checker
ResourceContributorRole,Contractor,Contractor
ResourceContributorRole,Contributor,Contributor
ResourceContributorRole,CoProducer,Co Producer
ResourceContributorRole,Correspondent,Correspondent
ResourceContributorRole,CostumeDesigner,Costume Designer
ResourceContributorRole,CoverDesigner,Cover Designer
ResourceContributorRole,Dancer,Dancer
ResourceContributorRole,Delineator,Delineator
ResourceContributorRole,Designer,Designer
ResourceContributorRole,DialogueCoach,Dialogue Coach
ResourceContributorRole,DialogueDirector,Dialogue Director
ResourceContributorRole,DigitalAudioWorkstationEngineer,Digital Audio Workstation Engineer
ResourceContributorRole,DigitalEditingEngineer,Digital Editing Engineer
ResourceContributorRole,DigitalEditingSecondEngineer,Digital Editing Second Engineer
ResourceContributorRole,Director,Director
ResourceContributorRole,DirectStreamDigitalEngineer,Direct Stream Digital Engineer
ResourceContributorRole,DistributionCompany,Distribution Company
ResourceContributorRole,DJ,DJ
ResourceContributorRole,Draughtsman,Draughtsman
ResourceContributorRole,Dresser,Dresser
ResourceContributorRole,Dubber,Dubber
ResourceContributorRole,Editor,Editor
ResourceContributorRole,EditorInChief,Editor In Chief
ResourceContributorRole,EditorOfTheDay,Editor Of The Day
ResourceContributorRole,Encoder,Encoder
ResourceContributorRole,Engineer,Engineer
ResourceContributorRole,Ensemble,Ensemble
ResourceContributorRole,ExecutiveProducer,Executive Producer
ResourceContributorRole,Expert,Expert
ResourceContributorRole,Facsimilist,Facsimilist
ResourceContributorRole,FeaturedArtist,Featured Artist
ResourceContributorRole,FightDirector,Fight Director
ResourceContributorRole,FilmDirector,Film Director
ResourceContributorRole,FilmDistributor,Film Distributor
ResourceContributorRole,FilmEditor,Film Editor
ResourceContributorRole,FilmProducer,Film Producer
ResourceContributorRole,FilmSoundEngineer,Film Sound Engineer
ResourceContributorRole,FloorManager,Floor Manager
ResourceContributorRole,FocusPuller,Focus Puller
ResourceContributorRole,FoleyArtist,Foley Artist
ResourceContributorRole,FoleyEditor,Foley Editor
ResourceContributorRole,FoleyMixer,Foley Mixer
ResourceContributorRole,GraphicArtist,Graphic Artist
ResourceContributorRole,GraphicAssistant,Graphic Assistant
ResourceContributorRole,GraphicDesigner,Graphic Designer
ResourceContributorRole,Greensman,Greensman
ResourceContributorRole,Grip,Grip
ResourceContributorRole,GroupMember,Group Member
ResourceContributorRole,GuestConductor,Guest Conductor
ResourceContributorRole,Hairdresser,Hairdresser
ResourceContributorRole,Illustrator,Illustrator
ResourceContributorRole,InitialProducer,Initial Producer
ResourceContributorRole,InterviewedGuest,Interviewed Guest
ResourceContributorRole,Interviewer,Interviewer
ResourceContributorRole,Journalist,Journalist
ResourceContributorRole,KeyCharacter,Key Character
ResourceContributorRole,KeyGrip,Key Grip
ResourceContributorRole,KeyTalent,Key Talent
ResourceContributorRole,Leadman,Leadman
ResourceContributorRole,LeadPerformer,Lead Performer
ResourceContributorRole,LeadVocalist,Lead Vocalist
ResourceContributorRole,LightingDirector,Lighting Director
ResourceContributorRole,LightingTechnician,Lighting Technician
ResourceContributorRole,LocationManager,Location Manager
ResourceContributorRole,MainArtist,Main Artist
ResourceContributorRole,MakeUpArtist,Make Up Artist
ResourceContributorRole,Manufacturer,Manufacturer
ResourceContributorRole,MasteringEngineer,Mastering Engineer
ResourceContributorRole,MasteringSecondEngineer,Mastering Second Engineer
ResourceContributorRole,MatteArtist,Matte Artist
ResourceContributorRole,Member,Member
ResourceContributorRole,Mixer,Mixer
ResourceContributorRole,MixingEngineer,Mixing Engineer
ResourceContributorRole,MixingSecondEngineer,Mixing Second Engineer
ResourceContributorRole,MusicArranger,Music Arranger
ResourceContributorRole,MusicCopyist,Music Copyist
ResourceContributorRole,MusicDirector,Music Director
ResourceContributorRole,MusicGroup,Music Group
ResourceContributorRole,Musician,Musician
ResourceContributorRole,Narrator,Narrator
ResourceContributorRole,NewspaperPublisher,Newspaper Publisher
ResourceContributorRole,NewsProducer,News Producer
ResourceContributorRole,NewsReader,News Reader
ResourceContributorRole,NotSpecified,Not Specified
ResourceContributorRole,Orchestra,Orchestra
ResourceContributorRole,OrchestraMember,Orchestra Member
ResourceContributorRole,OriginalArtist,Original Artist
ResourceContributorRole,OverdubEngineer,Overdub Engineer
ResourceContributorRole,OverdubSecondEngineer,Overdub Second Engineer
ResourceContributorRole,Painter,Painter
ResourceContributorRole,PeriodicalPublisher,Periodical Publisher
ResourceContributorRole,Photographer,Photographer
ResourceContributorRole,PhotographyDirector,Photography Director
ResourceContributorRole,PlaybackSinger,Playback Singer
ResourceContributorRole,PostProducer,Post Producer
ResourceContributorRole,PreProduction,Pre Production
ResourceContributorRole,PreProductionEngineer,Pre Production Engineer
ResourceContributorRole,PreProductionSecondEngineer,Pre Production Second Engineer
ResourceContributorRole,PrimaryMusician,Primary Musician
ResourceContributorRole,Producer,Producer
ResourceContributorRole,ProductionAssistant,Production Assistant
ResourceContributorRole,ProductionCompany,Production Company
ResourceContributorRole,ProductionCoordinator,Production Coordinator
ResourceContributorRole,ProductionDepartment,Production Department
ResourceContributorRole,ProductionManager,Production Manager
ResourceContributorRole,ProductionSecretary,Production Secretary
ResourceContributorRole,Programmer,Programmer
ResourceContributorRole,ProgrammingEngineer,Programming Engineer
